condition,seed,phase,cost,residual_median,residual_p05,residual_p95,residual_absolute_median,maximum_absolute_residual,prior_ratio_mean,prior_ratio_median,prior_ratio_p05,prior_ratio_p95
D1,17,hold,grasp,0.2266283404285626,0.03074997349207639,0.36822091408637286,0.2841426115758529,0.43916268452342055,1.2143629909100335,1.2266283404285625,1.0307499734920764,1.3682209140863728
D1,17,hold,compression,0.18633107929428952,0.0781228085991331,0.4242775661681311,0.32101642998398194,0.5142313066073855,1.2203682893681587,1.1863310792942896,1.0781228085991332,1.4242775661681313
D1,17,hold,velocity,0.2513792816101021,-0.1539680003241883,0.4667703166200228,0.3534656639998086,0.5455467887396273,1.2236250869472802,1.2513792816101021,0.8460319996758117,1.4667703166200228
D1,17,hold,smoothness,0.16886126462680662,-0.4187756851138742,0.5016120093164761,0.3493407955165471,0.5763890195080156,1.1076194396760788,1.1688612646268066,0.5812243148861258,1.501612009316476
D1,27,intercept,object,0.5299189275105793,0.23749051868915566,0.5527747017383575,0.5300099337100982,0.5571487587292989,1.4916734062634243,1.5299189275105796,1.2374905186891556,1.5527747017383575
D1,27,intercept,grasp,0.42229619056701667,0.3265844973297119,0.4467204356231689,0.4242710908508301,0.4514887341308594,1.4078478290326029,1.4222961905670166,1.3265844973297118,1.446720435623169
D1,27,intercept,compression,-0.3639461326663027,-0.37814050886291256,-0.1183867056628811,0.36916328113841596,0.3947607483564205,0.6753279341878897,0.6360538673336973,0.6218594911370875,0.8816132943371189
D1,27,intercept,velocity,0.19500329568982125,-0.5387601218819619,0.38285487417876723,0.2835876775532961,0.5464046713709831,1.074033480895896,1.1950032956898213,0.4612398781180381,1.3828548741787672
D1,27,intercept,smoothness,-0.10775785844388816,-0.4900558877448606,0.46702535809724993,0.3591615083193554,0.5170040429829948,0.9453778828127107,0.8922421415561118,0.5099441122551395,1.4670253580972499
D1,27,pre_impact,object,0.5244937621752421,0.509494336938858,0.5423081328868866,0.5255265076160431,0.5454456148147583,1.524961351525775,1.5244937621752421,1.509494336938858,1.5423081328868868
D1,27,pre_impact,grasp,0.4071437931060791,0.38350865702056885,0.4375467864303589,0.4086902600097656,0.44413962554931635,1.4079315954694889,1.407143793106079,1.3835086570205686,1.437546786430359
D1,27,pre_impact,compression,-0.37040797440307793,-0.3802717869096952,-0.361563815819538,0.3734155639717179,0.3861596576982375,0.6297827629440286,0.6295920255969222,0.6197282130903048,0.6384361841804619
