condition,seed,episode,term,mean,std,min,max,updates
D3,27,300,entropy_bonus,0.0120383789274,1.36220860552e-07,0.0120380020142,0.0120387353897,36
D3,27,300,policy_surrogate_loss,-2.54849178927e-08,2.45608635975e-07,-5.77136874199e-07,1.22287869453e-06,36
D3,27,399,total_actor_loss,0.0118817880072,6.69026840946e-07,0.0118798073381,0.0118839340284,44
D3,27,399,entropy_bonus,0.0118816875544,3.23839892956e-07,0.0118810911179,0.0118820409775,44
D3,27,399,policy_surrogate_loss,1.0045279156e-07,6.11417469226e-07,-1.60166621208e-06,1.90068036318e-06,44
M0,7,0,total_actor_loss,0.0122242865286,0.00190911350087,0,0.0125260325149,42
M0,7,0,entropy_bonus,0.0122242930503,0.00190911453637,-0,0.0125261163712,42
M0,7,0,policy_surrogate_loss,-6.52174154946e-09,8.57630984094e-08,-2.07930803299e-07,1.42231583594e-07,42
M0,7,100,total_actor_loss,0.012039206763,0.00190356579148,0,0.0123431459069,41
M0,7,100,entropy_bonus,0.0120391199065,0.00190355199836,-0,0.0123402023315,41
M0,7,100,policy_surrogate_loss,8.68565062194e-08,4.85082039718e-07,-2.00875103475e-07,3.09997797012e-06,41
M0,7,200,total_actor_loss,0.011945319525,0.00191278247304,0,0.0122527964413,40
M0,7,200,entropy_bonus,0.0119453731298,0.00191279100018,-0,0.0122527008057,40
M0,7,200,policy_surrogate_loss,-5.36048784854e-08,1.31793436451e-07,-4.91514801979e-07,1.49309635163e-07,40
M0,7,300,total_actor_loss,0.0122468904592,1.49519679841e-06,0.0122407507151,0.0122499940917,44
M0,7,300,entropy_bonus,0.0122469204556,8.99916450856e-07,0.0122447366714,0.0122478189468,44
M0,7,300,policy_surrogate_loss,-2.99963761462e-08,1.07654283073e-06,-4.48091328144e-06,2.54135578871e-06,44
M0,7,399,total_actor_loss,0.0123157753101,2.20630556443e-06,0.0123124830425,0.0123206777498,44
M0,7,399,entropy_bonus,0.0123152997277,1.15438388442e-06,0.0123126907349,0.0123160896301,44
M0,7,399,policy_surrogate_loss,4.75582412698e-07,1.68558305066e-06,-3.00955027342e-06,4.72830981016e-06,44
M0,17,0,total_actor_loss,0.0125268417433,3.04275708575e-07,0.0125257410109,0.0125274555758,41
M0,17,0,entropy_bonus,0.0125268281378,3.00470472545e-07,0.0125257177353,0.0125273580551,41
M0,17,0,policy_surrogate_loss,1.36054870555e-08,9.49834931206e-08,-2.11887061596e-07,1.94683670997e-07,41
M0,17,100,total_actor_loss,0.012431788398,4.71046236763e-07,0.0124310348183,0.0124330092221,40
M0,17,100,entropy_bonus,0.0124317436457,4.39389463844e-07,0.0124311752319,0.0124327106476,40
M0,17,100,policy_surrogate_loss,4.47522848842e-08,1.28106270261e-07,-2.15753912926e-07,4.54910099507e-07,40
M0,17,200,total_actor_loss,0.0123914502162,3.70998172886e-07,0.0123905250803,0.0123928757384,42
M0,17,200,entropy_bonus,0.0123915068081,2.18375039535e-07,0.0123911066055,0.0123918008804,42
M0,17,200,policy_surrogate_loss,-5.65919492928e-08,3.51016965314e-07,-1.25100463629e-06,1.07485800981e-06,42
