condition,seed,phase,cost,horizon,weight_mean
D1,7,intercept,smoothness,6,0.2684823555625819
D1,7,intercept,smoothness,7,0.2672534400963515
D1,7,pre_impact,object,0,40.445394420230784
D1,7,pre_impact,object,1,40.130273153868714
D1,7,pre_impact,object,2,39.88005815013055
D1,7,pre_impact,object,3,39.61384531578887
D1,7,pre_impact,object,4,39.2789424080031
D1,7,pre_impact,object,5,38.828689032833104
D1,7,pre_impact,object,6,38.20814778566948
D1,7,pre_impact,object,7,37.33993593889227
D1,7,pre_impact,grasp,0,154.0654614843118
D1,7,pre_impact,grasp,1,153.64768871011117
D1,7,pre_impact,grasp,2,152.71221288580944
D1,7,pre_impact,grasp,3,151.9877668611823
D1,7,pre_impact,grasp,4,151.6466423778164
D1,7,pre_impact,grasp,5,151.59775093322992
D1,7,pre_impact,grasp,6,151.65838259466736
D1,7,pre_impact,grasp,7,151.76126184140526
D1,7,pre_impact,compression,0,0.6994556004948099
D1,7,pre_impact,compression,1,0.6872579089134346
D1,7,pre_impact,compression,2,0.6749636582015169
D1,7,pre_impact,compression,3,0.6665565093391763
D1,7,pre_impact,compression,4,0.6623142770725388
D1,7,pre_impact,compression,5,0.6608524906742091
D1,7,pre_impact,compression,6,0.6606352896812326
D1,7,pre_impact,compression,7,0.6608916573549323
D1,7,pre_impact,velocity,0,4.693492857804867
D1,7,pre_impact,velocity,1,4.056961417533391
D1,7,pre_impact,velocity,2,2.5233736225237684
D1,7,pre_impact,velocity,3,2.35439733018312
D1,7,pre_impact,velocity,4,2.2253006382236356
D1,7,pre_impact,velocity,5,2.120950695502701
D1,7,pre_impact,velocity,6,2.0566289262051165
D1,7,pre_impact,velocity,7,1.9956875489505803
D1,7,pre_impact,smoothness,0,0.6200766190071173
D1,7,pre_impact,smoothness,1,0.5278586496293761
D1,7,pre_impact,smoothness,2,0.6293426161663616
D1,7,pre_impact,smoothness,3,0.5844934819556622
D1,7,pre_impact,smoothness,4,0.45924947525208004
D1,7,pre_impact,smoothness,5,0.3627920269085819
D1,7,pre_impact,smoothness,6,0.3074906079991311
D1,7,pre_impact,smoothness,7,0.2861442940593587
D1,7,capture,object,0,29.427748128167295
D1,7,capture,object,1,29.37925986252358
D1,7,capture,object,2,29.244616218664174
D1,7,capture,object,3,29.08682536782519
D1,7,capture,object,4,28.891056075359298
D1,7,capture,object,5,28.63148062947435
D1,7,capture,object,6,28.27945602647199
D1,7,capture,object,7,27.794820574165882
D1,7,capture,grasp,0,120.59319635542818
D1,7,capture,grasp,1,120.74253025312937
D1,7,capture,grasp,2,119.95695878184009
D1,7,capture,grasp,3,119.00767287865912
D1,7,capture,grasp,4,118.42895017298358
D1,7,capture,grasp,5,118.20571882983283
D1,7,capture,grasp,6,118.14397759350749
D1,7,capture,grasp,7,118.15551716956223
D1,7,capture,compression,0,17.32404302950879
D1,7,capture,compression,1,17.222369735811572
D1,7,capture,compression,2,17.127799773532658
D1,7,capture,compression,3,17.067286223957808
D1,7,capture,compression,4,17.039152666359374
D1,7,capture,compression,5,17.03026408377967
D1,7,capture,compression,6,17.029522993581484
D1,7,capture,compression,7,17.031736061559343
D1,7,capture,velocity,0,3.166401221944735
D1,7,capture,velocity,1,2.892378611443476
D1,7,capture,velocity,2,2.1436614414235424
D1,7,capture,velocity,3,1.990616019689856
D1,7,capture,velocity,4,1.8888637090563878
D1,7,capture,velocity,5,1.8059132990924216
D1,7,capture,velocity,6,1.7520211082670014
D1,7,capture,velocity,7,1.7018272852241243
D1,7,capture,smoothness,0,0.8204358890208548
D1,7,capture,smoothness,1,0.702082840609505
D1,7,capture,smoothness,2,0.8045211158072348
D1,7,capture,smoothness,3,0.7515732900445171
D1,7,capture,smoothness,4,0.6748313771992777
D1,7,capture,smoothness,5,0.5845604159757422
D1,7,capture,smoothness,6,0.5254706444371022
D1,7,capture,smoothness,7,0.5033805177516182
D1,7,hold,object,0,67.91485459970052
D1,7,hold,object,1,67.81579969272424
D1,7,hold,object,2,67.53180833963404
